County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score
Nevada,Chronic Composite,519.4,570.8,5,,,,,,,,,1.1917417200172256,,
Nevada,Community-Acquired Pneumonia,87.97999999999999,99.72,5,96.6,101.1,88.5,133.3,3.8,4.5,High,Low,-0.43061440301730014,-0.4014645494956249,-0.029149853521675262
Nevada,Diabetes Composite,158.02,157.28,5,203.8,112.8,223.4,147.8,5.1,5.6,Low,Low,-0.16722878608406055,-0.29267688367812916,0.1254480975940686
Nevada,Diabetes Long-term Complications,63.5,67.86,5,,,,,,,,,-0.5226715118483353,,
Nevada,Diabetes Short-term Complications,68.72,58.48,5,,,,,,,,,-0.5030416871711292,,
Nevada,Heart Failure,260.96,322.56,5,324.0,144.7,353.7,161.2,4.5,4.9,Low,Low,0.21987737335494092,0.0039322222687179385,0.21594515108622298
Nevada,Hypertension,29.119999999999997,28.880000000000003,5,35.3,142.8,49.0,161.5,2.7,3.0,Low,Low,-0.6519575985154508,-0.013734150812755508,-0.6382234477026952
Nevada,Lower-Extremity Amputation (Diabetes),27.580000000000002,30.52,5,,,,,,,,,-0.6577487728455077,,
Nevada,Overall Composite,674.96,750.78,5,,,,,,,,,1.7767255374092121,,
Nevada,Uncontrolled Diabetes,17.419999999999998,17.6,5,,,,,,,,,-0.6959554814126367,,
Nevada,Urinary Tract Infection,67.36,80.25999999999999,5,84.8,119.6,84.4,140.1,2.9,3.7,High,Low,-0.5081559709950756,-0.22944986422864452,-0.27870610676643104
Orange,Acute Composite,161.64000000000001,127.28,5,,,,,,,,,-0.153615765905615,,
Orange,Asthma in Younger Adults (Age 18-39),11.74,8.76,5,10.2,431.6,16.0,351.2,2.7,2.5,Low,High,-0.7173151373832364,2.6715545575712403,-3.3888696949544768
Orange,COPD or Asthma in Older Adults (Age 40+),110.35999999999999,75.67999999999999,5,83.5,260.4,134.7,232.4,4.0,3.9,Low,High,-0.3464543500908881,1.0797213620195083,-1.4261757121103964
Orange,Chronic Composite,590.6,465.2,5,,,,,,,,,1.4594895202120666,,
Orange,Community-Acquired Pneumonia,79.12,61.660000000000004,5,72.5,152.3,88.5,133.3,4.3,4.5,Low,High,-0.46393245792918614,0.07459771459461277,-0.5385301725237989
Orange,Diabetes Composite,201.06,161.02,5,182.3,168.1,223.4,147.8,5.4,5.6,Low,High,-0.005376745067403999,0.22150755390370933,-0.2268842989711133
Orange,Diabetes Long-term Complications,105.34,84.02000000000001,5,,,,,,,,,-0.365332074205749,,
Orange,Diabetes Short-term Complications,51.9,43.12,5,,,,,,,,,-0.5662933444643486,,
