County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score,quadrant
Marin,Asthma in Younger Adults (Age 18-39),7.65,4.65,5,9.4,830.9,16.0,351.2,2.2,2.5,Low,High,-0.7326955938831928,6.384282332009361,-7.116977925892554,00
Marin,COPD or Asthma in Older Adults (Age 40+),96.38,60.56,5,58.9,296.5,134.7,232.4,4.1,3.9,Low,High,-0.39902617939880763,1.415382450567508,-1.8144086299663158,00
Marin,Community-Acquired Pneumonia,59.9,52.8,5,56.3,184.6,88.5,133.3,4.1,4.5,Low,High,-0.5362093219705463,0.3749260569796648,-0.911135378950211,00
Marin,Diabetes Composite,116.97999999999999,83.64,5,87.8,193.8,223.4,147.8,5.5,5.6,Low,High,-0.32155982147726664,0.4604684950583795,-0.7820283165356461,00
Marin,Heart Failure,223.78000000000003,219.56,5,246.9,229.3,353.7,161.2,4.8,4.9,Low,High,0.08006187881499476,0.7905507289490715,-0.7104888501340768,10
Marin,Hypertension,24.1,18.44,5,25.7,229.2,49.0,161.5,3.5,3.0,Low,High,-0.6708353226303118,0.78962091983952,-1.4604562424698317,00
Marin,Urinary Tract Infection,49.72,52.2,5,56.3,195.0,84.4,140.1,3.5,3.7,Low,High,-0.5744912405939098,0.4716262043729943,-1.046117444966904,00
Mariposa,Asthma in Younger Adults (Age 18-39),21.35,20.424999999999997,5,54.8,160.2,16.0,351.2,1.5,2.5,High,Low,-0.6811767053625564,0.14805263424916093,-0.8292293396117173,00
Mariposa,COPD or Asthma in Older Adults (Age 40+),263.7,258.26,5,214.9,57.1,134.7,232.4,3.5,3.9,High,Low,0.23018115105906828,-0.8105805576981727,1.040761708757241,11
Mariposa,Community-Acquired Pneumonia,97.6,132.38,5,201.7,42.1,88.5,133.3,4.2,4.5,High,Low,-0.3944383659685028,-0.9500519241308595,0.5556135581623567,01
Mariposa,Diabetes Composite,153.07999999999998,184.78,5,223.3,42.1,223.4,147.8,6.1,5.6,Low,Low,-0.1858056699739836,-0.9500519241308595,0.7642462541568759,01
Mariposa,Heart Failure,284.46,424.88,5,446.6,63.5,353.7,161.2,4.5,4.9,High,Low,0.3082491894304853,-0.7510727746868929,1.0593219641173781,11
Mariposa,Hypertension,17.32,22.8,5,36.0,63.5,49.0,161.5,1.8,3.0,Low,Low,-0.6963315316938092,-0.7510727746868929,0.054741242993083694,01
Mariposa,Urinary Tract Infection,110.35999999999999,149.38,5,194.5,42.1,84.4,140.1,4.6,3.7,High,Low,-0.3464543500908881,-0.9500519241308595,0.6035975740399714,01
Mendocino,Asthma in Younger Adults (Age 18-39),7.5,6.875,5,4.8,318.5,16.0,351.2,0.0,2.5,Low,Low,-0.7332596693049516,1.619940454668782,-2.3532001239737337,00
Mendocino,COPD or Asthma in Older Adults (Age 40+),89.22,97.12,5,88.4,133.3,134.7,232.4,3.2,3.9,Low,Low,-0.42595137953076073,-0.10206601622012379,-0.32388536331063694,01
